,weeks,hellinger_scores
0,36 - (36-37),0.5793332336980906
1,(36-37) - (36-38),0.43986006697902247
2,(36-38) - (36-39),0.46779525834705005
3,(36-39) - (36-40),0.10074414617078079
4,(36-40) - (36-41),0.31921686219292406
5,(36-41) - (36-42),0.31921686219292406
6,(36-42) - (36-43),0.0
7,(36-43) - (36-44),0.009412758942935074
8,(36-44) - (36-45),0.01147261385833766
9,(36-45) - (36-46),0.10132591249775483
10,(36-46) - (36-47),0.20925163792160334
11,(36-47) - (36-48),0.14621469966879905
12,(36-48) - (36-49),0.2925943270534072
13,(36-49) - (36-50),0.31442875435439865
14,(36-50) - (36-51),0.0
